"Sector","Count","FlightTypes","Scenario","Runway","Run"
"CTR_RIJEKA",2,"IFR & VFR","Current","1","4"
"CTR_RIJEKA",1,"IFR & VFR","Current","1","5"
"CTR_RIJEKA",1,"IFR & VFR","Current","2","3"
"CTR_RIJEKA",1,"IFR & VFR","PBN","1","1"
"CTR_RIJEKA",1,"IFR & VFR","PBN","1","2"
"CTR_RIJEKA",3,"IFR & VFR","PBN","1","3"
"CTR_RIJEKA",1,"IFR & VFR","PBN","1","4"
"CTR_RIJEKA",2,"IFR & VFR","PBN","1","5"
"CTR_RIJEKA",2,"IFR & VFR","PBN","2","1"
"CTR_RIJEKA",2,"IFR & VFR","PBN","2","3"
"CTR_SPLIT",1,"Both VFR","Current","1","2"
"CTR_SPLIT",1,"Both VFR","Current","1","5"
"CTR_SPLIT",2,"IFR & VFR","Current","1","1"
"CTR_SPLIT",2,"IFR & VFR","Current","1","2"
"CTR_SPLIT",1,"IFR & VFR","Current","1","3"
"CTR_SPLIT",2,"IFR & VFR","Current","1","5"
"CTR_SPLIT",15,"IFR & VFR","Current","2","1"
"CTR_SPLIT",7,"IFR & VFR","Current","2","2"
"CTR_SPLIT",10,"IFR & VFR","Current","2","3"
"CTR_SPLIT",11,"IFR & VFR","Current","2","4"
"CTR_SPLIT",10,"IFR & VFR","Current","2","5"
"CTR_SPLIT",1,"IFR & VFR","PBN","1","1"
"CTR_SPLIT",2,"IFR & VFR","PBN","1","2"
"CTR_SPLIT",3,"IFR & VFR","PBN","1","4"
"CTR_SPLIT",1,"IFR & VFR","PBN","1","5"
"CTR_SPLIT",10,"IFR & VFR","PBN","2","1"
"CTR_SPLIT",10,"IFR & VFR","PBN","2","2"
"CTR_SPLIT",8,"IFR & VFR","PBN","2","3"
"CTR_SPLIT",10,"IFR & VFR","PBN","2","4"
"CTR_SPLIT",8,"IFR & VFR","PBN","2","5"
"CTR_ZADAR",1,"Both IFR","Current","1","3"
"CTR_ZADAR",1,"Both IFR","Current","1","4"
"CTR_ZADAR",1,"Both IFR","Current","2","1"
"CTR_ZADAR",1,"Both IFR","Current","2","2"
"CTR_ZADAR",1,"Both IFR","Current","2","3"
"CTR_ZADAR",1,"Both IFR","Current","2","4"
"CTR_ZADAR",1,"Both IFR","PBN","2","1"
"CTR_ZADAR",2,"Both IFR","PBN","2","2"
"CTR_ZADAR",1,"Both IFR","PBN","2","3"
"CTR_ZADAR",2,"Both IFR","PBN","2","4"
"CTR_ZADAR",2,"Both IFR","PBN","2","5"
"CTR_ZADAR",1,"Both VFR","PBN","1","3"
"CTR_ZADAR",2,"IFR & VFR","Current","1","1"
"CTR_ZADAR",3,"IFR & VFR","Current","1","2"
"CTR_ZADAR",4,"IFR & VFR","Current","1","3"
"CTR_ZADAR",6,"IFR & VFR","Current","1","4"
"CTR_ZADAR",2,"IFR & VFR","Current","1","5"
"CTR_ZADAR",2,"IFR & VFR","Current","2","1"
"CTR_ZADAR",3,"IFR & VFR","Current","2","2"
"CTR_ZADAR",7,"IFR & VFR","Current","2","3"
"CTR_ZADAR",1,"IFR & VFR","Current","2","4"
"CTR_ZADAR",4,"IFR & VFR","Current","2","5"
"CTR_ZADAR",4,"IFR & VFR","PBN","1","1"
"CTR_ZADAR",4,"IFR & VFR","PBN","1","2"
"CTR_ZADAR",2,"IFR & VFR","PBN","1","3"
