"Airport","Scenario","RoutingType","Waypoint","FuelBurn"
"LDSP","Current","Departure","LDZA",3220.94
"LDZD","Current","Departure","LDZA",486.92
"LDDU","PBN","Departure","LDZA",6712.19
"LDLO","PBN","Departure","LDZA",138.62
"LDOS","PBN","Departure","LDZA",506.88
"LDSB","PBN","Departure","LDZA",636.32
"LDSP","PBN","Departure","LDZA",3220.94
"LDZD","PBN","Departure","LDZA",486.92
"LDDU","Current","Arrival","LDZD",455.83
"LDPL","Current","Arrival","LDZD",376.05
"LDSB","Current","Arrival","LDZD",355.12
"LDZA","Current","Arrival","LDZD",486.92
"LDDU","PBN","Arrival","LDZD",455.83
"LDPL","PBN","Arrival","LDZD",376.05
"LDSB","PBN","Arrival","LDZD",355.12
"LDZA","PBN","Arrival","LDZD",486.92
"LDPL","Current","Departure","LDZD",357.18
"LDZA","Current","Departure","LDZD",563.88
"LDPL","PBN","Departure","LDZD",357.18
"LDZA","PBN","Departure","LDZD",563.88
"LDSB","Current","Arrival","LJLJ",1046.97
"LDSB","PBN","Arrival","LJLJ",1046.97
"LDSB","Current","Departure","LJLJ",953.25
"LDSB","PBN","Departure","LJLJ",953.25
"LDSB","Current","Arrival","LOWG",904.43
"LDZA","Current","Arrival","LOWG",37.48
"LDSB","PBN","Arrival","LOWG",904.43
"LDZA","PBN","Arrival","LOWG",37.48
"LDSB","Current","Departure","LOWG",883.77
"LDZA","Current","Departure","LOWG",20.55
"LDSB","PBN","Departure","LOWG",883.77
"LDZA","PBN","Departure","LOWG",20.55
"LDZA","Current","Arrival","LQSA",650.07
"LDZA","PBN","Arrival","LQSA",650.07
"LDZA","Current","Departure","LQSA",612.42
"LDZA","PBN","Departure","LQSA",612.42
"LDDU","Current","Arrival","LYPG",841.15
"LDDU","PBN","Arrival","LYPG",841.15
"LDDU","Current","Departure","LYPG",393.72
"LDDU","PBN","Departure","LYPG",393.72
"LDDU","Current","Departure","LYTV",219.25
"LDDU","PBN","Departure","LYTV",219.25
"LDZA","Current","Departure","MITNO",2025.45
"LDZA","PBN","Departure","MITNO",2025.45
"LDDU","Current","Arrival","MOKUN",2130.71
"LDDU","PBN","Arrival","MOKUN",2130.71
"LDDU","Current","Departure","MOKUN",11212.94
"LDDU","PBN","Departure","MOKUN",11212.94
"LDSP","Current","Arrival","NEMEK",1579.81
"LDSP","PBN","Arrival","NEMEK",1579.81
"LDDU","Current","Arrival","NIKOL",1221.1
"LDZD","Current","Arrival","NIKOL",506.2
"LDDU","PBN","Arrival","NIKOL",1221.1
"LDZD","PBN","Arrival","NIKOL",506.2
"LDZA","Current","Departure","NILKU",890.75
"LDZA","PBN","Departure","NILKU",890.75
"LDSP","Current","Departure","OBUTI",5541.8
"LDZA","Current","Departure","OBUTI",11147.34
"LDSP","PBN","Departure","OBUTI",5541.8
"LDZA","PBN","Departure","OBUTI",11147.34
"LDDU","Current","Departure","OBUTI 1",6846.87
"LDSB","Current","Departure","OBUTI 1",699.57
"LDDU","PBN","Departure","OBUTI 1",6846.87
"LDSB","PBN","Departure","OBUTI 1",699.57
"LDDU","Current","Departure","OBUTI 2",15203.7
"LDDU","PBN","Departure","OBUTI 2",15203.7
"LDZA","Current","Arrival","OSLUD",228.93
