"ID","Sector","Start_Time","Closest_Time","End_Time","ConflictType","Severity","VerticalSeverity","LateralConflictType","VerticalConflictType","VerticalSeparation","ReqVerticalSeparation","LateralSeparation","ReqLateralSeparation","Altitude_ft","FlightPlanPhase1","FlightPlanPhase2","Longitude","Latitude","Scenario"
"REAL_CTN385#2_CFG9TK_1","TMA_DUBROVNIK","16:49:42","16:50:08","16:50:08","SameTrackBothInVertical","0","3","SameTrack","BothInVertical",966,1000,8.5,5,9020,"ApproachLeg","ApproachLeg",17.7258838888889,42.7112872222222,"Current"
"REAL_NAX6RA_WZZ1071_1","ACC_ZAGREB","16:50:24","16:50:34","16:51:14","OppositeOneInVertical","5","3","Opposite","OneInVertical",862,1000,0.6,5,36569,"EnRoute","EnRoute",17.1317611111111,45.6110325,"Current"
"REAL_LGL415_DLH8LC_1","CTR_DUBROVNIK","16:52:04","16:52:28","16:52:40","SameTrackBothInVertical","1","4","SameTrack","BothInVertical",319,1000,7.2,5,2045,"ApproachLeg","Sid",18.2402013888889,42.5725083333333,"Current"
"REAL_TVF40JQ_9ADZF_1","CTR_DUBROVNIK","17:02:46","17:02:46",NA,"SameTrackOneInVertical","0","3","SameTrack","OneInVertical",981,1000,7.7,5,1490,"ApproachLeg","ApproachLeg",18.0778933333333,42.6160813888889,"Current"
"REAL_POLICE3_9ADZF_1","CTR_DUBROVNIK","17:06:40","17:09:38","17:10:28","SameTrackBothCruising","5","6","SameTrack","BothCruising",0,1000,0.6,5,1000,"Sid","ApproachLeg",18.1905427777778,42.5569058333333,"Current"
"REAL_DLH6YC_EZY6431_1","ACC_ZAGREB","17:14:38","17:14:46","17:14:54","OppositeBothInVertical","0","5","Opposite","BothInVertical",66,1000,9.7,5,26356,"EnRoute","EnRoute",15.5865844444444,44.3274905555556,"Current"
"REAL_SCW19Y_EXS246_1","TMA_SPLIT","17:16:58","17:17:22","17:17:22","CrossingBothInVertical","1","3","Crossing","BothInVertical",971,1000,7,5,7550,"ApproachLeg","Sid",16.3769772222222,43.405985,"Current"
"REAL_LOT566_MGX2241_1","TMA_DUBROVNIK","17:21:10","17:21:34","17:21:34","CrossingBothInVertical","2","3","Crossing","BothInVertical",921,1000,5.5,5,13803,"Sid","EnRoute",18.4243683333333,42.4766516666667,"Current"
"REAL_NAX8LN_EZY94XF_1","TMA_SPLIT","17:45:48","17:47:50","17:48:02","CrossingBothInVertical","3","3","Crossing","BothInVertical",921,1000,3.3,5,7486,"ApproachLeg","ApproachLeg",15.8317247222222,43.5588808333333,"Current"
"REAL_NAX8LN_EZY94XF_2","TMA_SPLIT","17:49:04","17:49:04","17:51:50","SameTrackBothInVertical","1","3","SameTrack","BothInVertical",982,1000,6.1,5,5828,"ApproachLeg","ApproachLeg",15.8798997222222,43.4864616666667,"Current"
"REAL_IBK488_EZY54PC_1","TMA_PULA","17:49:52","17:49:52","17:50:18","CrossingBothInVertical","0","3","Crossing","BothInVertical",944,1000,7.5,5,9153,"ApproachLeg","Sid",13.9974372222222,45.0155261111111,"Current"
"REAL_LGL416_CTN301#2_1","CTR_DUBROVNIK","17:57:32","17:57:32","17:58:08","SameTrackBothInVertical","1","3","SameTrack","BothInVertical",898,1000,6.7,5,1700,"Sid","ApproachLeg",18.2191502777778,42.5808175,"Current"
"REAL_9APAB#2_RYR855D_1","TMA_ZADAR","18:01:02","18:01:02",NA,"SameTrackOneInVertical","1","3","SameTrack","OneInVertical",974,1000,6.9,5,2187,"ApproachLeg","ApproachLeg",15.1427911111111,44.1812613888889,"Current"
"REAL_CTN337_EWG2TY_1","TMA_SPLIT","18:01:42","18:01:42","18:02:10","SameTrackBothInVertical","0","3","SameTrack","BothInVertical",962,1000,8.4,5,9657,"ApproachLeg","Sid",16.4733441666667,43.4210383333333,"Current"
"REAL_CTN337_SAS1826_1","TMA_SPLIT","18:04:22","18:04:22","18:04:48","CrossingBothInVertical","0","3","Crossing","BothInVertical",946,1000,8.5,5,6402,"ApproachLeg","Sid",16.3609047222222,43.4175427777778,"Current"
"REAL_9APAB#2_EWG9971_1","CTR_ZADAR","18:06:56","18:06:58","18:06:58","CrossingBothInVertical","2","4","Crossing","BothInVertical",411,1000,5.9,5,1294,"FinalApproach","Sid",15.3027516666667,44.0760361111111,"Current"
