"Callsign","Origin","Destination","FuelBurn","TrackMiles","AircraftType","RoutingType","Scenario","Runway","Waypoint","Airport"
"VOE22DU","LDDU","LFML",1520.1,203.7,"B712(MEDIUM)","Departure","Current","2","VELUG","LDDU"
"DLH3NL","EDDM","LDZA",200,87.6,"E195(MEDIUM)","Arrival","Current","2","ARGOM","LDZA"
"AUA79T","LDSP","LOWW",2010.7,231,"A320(MEDIUM)","Departure","Current","2","OBUTI.2","LDSP"
"CTN52R","LDSP","LFPG",1803.13,210.8,"A319(MEDIUM)","Departure","Current","2","BAXON","LDSP"
"ASL97Y","LDPL","LYBE",752.63,275.79999,"AT72(MEDIUM)","Departure","Current","2","SOMUN","LDPL"
"N123CZ","EGSC","LDSB",239.08,261,"C25B(MEDIUM)","Arrival","Current","2","PEVAL","LDSB"
"VLG6733","LDSP","LIRF",1434.6,129.5,"A320(MEDIUM)","Departure","Current","2","VELUG","LDSP"
"EWG960","EDDK","LDRI",207.97,84.5,"A319(MEDIUM)","Arrival","Current","2","ARMIX","LDRI"
"UAE130","LDZA","OMDB",6459.87,182.8,"B77W(MEDIUM)","Departure","Current","2","TUVAR.1","LDZA"
"EWG3LY","EDDK","LDSP",725.2,225.60001,"A319(MEDIUM)","Arrival","Current","2","LABIN","LDSP"
"TRA5998","LDPL","EHRD",1299.1,104.6,"B737(MEDIUM)","Departure","Current","2","PEVAL","LDPL"
"EZY21FD","LDSP","EHAM",2025.28,228.8,"A320(MEDIUM)","Departure","Current","2","SABAD.1","LDSP"
"EZS59NC","LSGG","LDSP",459.72,153.89999,"A320(MEDIUM)","Arrival","Current","2","TORPO","LDSP"
"IBK6180","LEMD","LDDU",497.68,168.7,"B738(MEDIUM)","Arrival","Current","2","KATTI","LDDU"
"EZS1039","LFSB","LDSP",896.4,211.60001,"A319(MEDIUM)","Arrival","Current","2","SABAD","LDSP"
"SCW11C","EKCH","LDSP",882.92,209.3,"RJ1H(MEDIUM)","Arrival","Current","2","DARZA","LDSP"
"EZY16XU","LIPZ","LDDU",1881.23,336.20001,"A320(MEDIUM)","Arrival","Current","2","ROTAR","LDDU"
"JAF10A","LDSB","EHRD",1658.75,255.39999,"E190(MEDIUM)","Departure","Current","2","PEVAL.1","LDSB"
"RYR4365","LDRI","EDDF",1517.17,109.9,"B738(MEDIUM)","Departure","Current","2","ALIVO","LDRI"
"CTN475V","LFLL","LDSP",434.25,154,"DH8D(MEDIUM)","Arrival","Current","2","TORPO","LDSP"
"CTN384#2","LDDU","LIRF",686.7,169.2,"DH8D(MEDIUM)","Departure","Current","2","KATTI","LDDU"
"EWG6ZV","EDDS","LDPL",477.2,134,"A319(MEDIUM)","Arrival","Current","2","OUTSIDE.FIR.NW","LDPL"
"BEL3357","EBBR","LDZD",414.47,167.7,"SU95(MEDIUM)","Arrival","Current","2","PEVAL","LDZD"
"TVL5087#2","LDDU","LHBP",1893.1,182.7,"B738(MEDIUM)","Departure","Current","2","VEBAR","LDDU"
"CTN19H","EDDF","LDZA",237.67,87.6,"A319(MEDIUM)","Arrival","Current","2","ARGOM","LDZA"
"CTN4462","LDSP","LSZH",907.72,237.60001,"DH8D(MEDIUM)","Departure","Current","2","BUSET","LDSP"
"PEV510","LSZR","LDPL",208.02,103.1,"E170(MEDIUM)","Arrival","Current","2","ROTAR","LDPL"
"WZZ1044","EPKT","LDSP",843.35,222.89999,"A320(MEDIUM)","Arrival","Current","2","KOPRY","LDSP"
"CTN27D","LDDU","EDDF",2251.37,322.5,"A319(MEDIUM)","Departure","Current","2","DARZA","LDDU"
