"Sector","FlightPlanPhases","Count","Scenario"
"All TMA","En Route and Final Approach",2,"Current"
"All TMA","En Route and Sid",21,"Current"
"All TMA","Final Approach and Sid",5,"Current"
"All TMA","Both Sid",6,"Current"
"All TMA","Both Approach Leg",21,"PBN"
"All TMA","Approach Leg and En Route",17,"PBN"
"All TMA","Approach Leg and Sid",16,"PBN"
"All TMA","Both En Route",18,"PBN"
"All TMA","En Route and Final Approach",2,"PBN"
"All TMA","En Route and Sid",21,"PBN"
"All TMA","Final Approach and Sid",5,"PBN"
"All TMA","Both Sid",6,"PBN"
