"Time","Sector","Entries","Scenario","Runway"
"04:50","TMA_ZAGREB",3,"Current","1"
"04:50","TMA_PULA",1,"Current","1"
"04:50","TMA_DUBROVNIK",1,"Current","1"
"04:50","TMA_SPLIT",3,"Current","1"
"04:50","TMA_ZADAR",2,"Current","1"
"04:50","TMA_OSIJEK",1,"Current","1"
"05:00","TMA_ZAGREB",5,"Current","1"
"05:00","TMA_PULA",1,"Current","1"
"05:00","TMA_DUBROVNIK",1,"Current","1"
"05:00","TMA_SPLIT",4,"Current","1"
"05:00","TMA_ZADAR",2,"Current","1"
"05:00","TMA_OSIJEK",1,"Current","1"
"05:10","TMA_ZAGREB",6,"Current","1"
"05:10","TMA_PULA",3,"Current","1"
"05:10","TMA_DUBROVNIK",2,"Current","1"
"05:10","TMA_SPLIT",5,"Current","1"
"05:10","TMA_ZADAR",2,"Current","1"
"05:10","TMA_OSIJEK",1,"Current","1"
"05:20","TMA_ZAGREB",7,"Current","1"
"05:20","TMA_PULA",4,"Current","1"
"05:20","TMA_DUBROVNIK",4,"Current","1"
"05:20","TMA_SPLIT",7,"Current","1"
"05:20","TMA_ZADAR",4,"Current","1"
"05:20","TMA_OSIJEK",0,"Current","1"
"05:30","TMA_ZAGREB",9,"Current","1"
"05:30","TMA_PULA",4,"Current","1"
"05:30","TMA_DUBROVNIK",5,"Current","1"
"05:30","TMA_SPLIT",8,"Current","1"
"05:30","TMA_ZADAR",6,"Current","1"
"05:30","TMA_OSIJEK",0,"Current","1"
"05:40","TMA_ZAGREB",12,"Current","1"
"05:40","TMA_PULA",5,"Current","1"
"05:40","TMA_DUBROVNIK",4,"Current","1"
"05:40","TMA_SPLIT",8,"Current","1"
"05:40","TMA_ZADAR",8,"Current","1"
"05:40","TMA_OSIJEK",0,"Current","1"
"05:50","TMA_ZAGREB",13,"Current","1"
"05:50","TMA_PULA",6,"Current","1"
"05:50","TMA_DUBROVNIK",6,"Current","1"
"05:50","TMA_SPLIT",8,"Current","1"
"05:50","TMA_ZADAR",8,"Current","1"
"05:50","TMA_OSIJEK",0,"Current","1"
"06:00","TMA_ZAGREB",12,"Current","1"
"06:00","TMA_PULA",6,"Current","1"
"06:00","TMA_DUBROVNIK",8,"Current","1"
"06:00","TMA_SPLIT",7,"Current","1"
"06:00","TMA_ZADAR",8,"Current","1"
"06:00","TMA_OSIJEK",0,"Current","1"
"06:10","TMA_ZAGREB",13,"Current","1"
"06:10","TMA_PULA",5,"Current","1"
"06:10","TMA_DUBROVNIK",9,"Current","1"
"06:10","TMA_SPLIT",10,"Current","1"
"06:10","TMA_ZADAR",8,"Current","1"
"06:10","TMA_OSIJEK",0,"Current","1"
"06:20","TMA_ZAGREB",12,"Current","1"
"06:20","TMA_PULA",5,"Current","1"
"06:20","TMA_DUBROVNIK",9,"Current","1"
"06:20","TMA_SPLIT",11,"Current","1"
"06:20","TMA_ZADAR",7,"Current","1"
"06:20","TMA_OSIJEK",0,"Current","1"
"06:30","TMA_ZAGREB",13,"Current","1"
"06:30","TMA_PULA",5,"Current","1"
"06:30","TMA_DUBROVNIK",8,"Current","1"
"06:30","TMA_SPLIT",15,"Current","1"
"06:30","TMA_ZADAR",5,"Current","1"
"06:30","TMA_OSIJEK",0,"Current","1"
"06:40","TMA_ZAGREB",10,"Current","1"
"06:40","TMA_PULA",6,"Current","1"
"06:40","TMA_DUBROVNIK",10,"Current","1"
"06:40","TMA_SPLIT",17,"Current","1"
"06:40","TMA_ZADAR",5,"Current","1"
"06:40","TMA_OSIJEK",1,"Current","1"
"06:50","TMA_ZAGREB",10,"Current","1"
"06:50","TMA_PULA",7,"Current","1"
"06:50","TMA_DUBROVNIK",9,"Current","1"
"06:50","TMA_SPLIT",16,"Current","1"
"06:50","TMA_ZADAR",5,"Current","1"
"06:50","TMA_OSIJEK",1,"Current","1"
"07:00","TMA_ZAGREB",13,"Current","1"
"07:00","TMA_PULA",9,"Current","1"
"07:00","TMA_DUBROVNIK",11,"Current","1"
"07:00","TMA_SPLIT",21,"Current","1"
"07:00","TMA_ZADAR",8,"Current","1"
"07:00","TMA_OSIJEK",1,"Current","1"
"07:10","TMA_ZAGREB",12,"Current","1"
"07:10","TMA_PULA",9,"Current","1"
"07:10","TMA_DUBROVNIK",11,"Current","1"
"07:10","TMA_SPLIT",18,"Current","1"
"07:10","TMA_ZADAR",10,"Current","1"
"07:10","TMA_OSIJEK",1,"Current","1"
"07:20","TMA_ZAGREB",11,"Current","1"
"07:20","TMA_PULA",13,"Current","1"
