"Sector","V","Longitude","Latitude"
"CTR_BRAC","V6",16.6519444444444,43.4019444444444
"CTR_DUBROVNIK","V6",18.0469444444444,42.7083333333333
"CTR_LOSINJ","V6",14.2591666666667,44.6830555555556
"CTR_PULA","V6",14.1977777777778,44.7858333333333
"CTR_SPLIT","V6",16.3777777777778,43.6297222222222
"CTR_ZADAR","V6",15.5508333333333,44.1827777777778
"CTR_ZAGREB","V6",16.2383333333333,45.9447222222222
"FIC_SPLIT","V6",17.0752777777778,42.68
"FIC_ZADAR","V6",14.7444444444444,44.595
"FIC_ZAGREB","V6",15.2972222222222,45.5736111111111
"LQBT_FIR","V6",17.8194444444444,44.5316666666667
"LQMT_FIR","V6",17.3036111111111,43.4613888888889
"LQSB_FIR","V6",17.6894444444444,43.0286111111111
"LQVF_FIR","V6",17.0208333333333,43.5686111111111
"OUTSIDE_FIR_E","V6",16.3813888888889,46.5325
"OUTSIDE_FIR_N","V6",16.2741666666667,46.3783333333333
"OUTSIDE_FIR_W","V6",5.01805555555556,41.5391666666667
"TMA_DUBROVNIK","V6",17.6163888888889,41.7533333333333
"TMA_OSIJEK","V6",19.0955555555556,45.0041666666667
"TMA_PULA","V6",13.3288888888889,44.5330555555556
"TMA_SPLIT","V6",17.0752777777778,42.68
"TMA_ZADAR","V6",14.6358333333333,44.8269444444445
"TMA_ZAGREB","V6",15.1833333333333,45.4241666666667
"ACC_ZAGREB","V7",16.3538888888889,42.3472222222222
"CTR_BRAC","V7",16.8469444444444,43.3016666666667
"CTR_LOSINJ","V7",14.5994444444444,44.74
"CTR_PULA","V7",14.1875,45.0636111111111
"CTR_SPLIT","V7",16.4230555555556,43.6241666666667
"CTR_ZADAR","V7",15.6202777777778,44.1155555555556
"CTR_ZAGREB","V7",16.3683333333333,45.8447222222222
"FIC_SPLIT","V7",15.9361111111111,42.5816666666667
"FIC_ZADAR","V7",14.9822222222222,44.7661111111111
"FIC_ZAGREB","V7",15.3494444444444,45.6358333333333
"LQBT_FIR","V7",17.765,44.3716666666667
"LQMT_FIR","V7",17.5,43.5152777777778
"LQSB_FIR","V7",17.4308333333333,43.1802777777778
"LQVF_FIR","V7",16.8641666666667,43.7097222222222
"OUTSIDE_FIR_E","V7",16.4697222222222,46.5041666666667
"OUTSIDE_FIR_N","V7",16.1469444444444,46.4033333333333
"OUTSIDE_FIR_W","V7",18.6636111111111,41.9438888888889
"TMA_DUBROVNIK","V7",16.3538888888889,42.3472222222222
"TMA_OSIJEK","V7",19.0358333333333,44.9083333333333
"TMA_PULA","V7",12.9955555555556,45.1663888888889
"TMA_SPLIT","V7",15.9361111111111,42.5816666666667
"TMA_ZADAR","V7",15.15,44.8855555555556
"TMA_ZAGREB","V7",15.0902777777778,45.5166666666667
"ACC_ZAGREB","V8",16.1619444444444,42.4336111111111
"CTR_LOSINJ","V8",14.6591666666667,44.5330555555556
"CTR_SPLIT","V8",16.5241666666667,43.5066666666667
"CTR_ZADAR","V8",15.6402777777778,44.0963888888889
"CTR_ZAGREB","V8",15.9647222222222,45.5847222222222
"FIC_SPLIT","V8",14.6302777777778,43.4177777777778
"FIC_ZADAR","V8",15.15,44.8855555555556
"FIC_ZAGREB","V8",15.35,45.6633333333333
"LQBT_FIR","V8",17,44.8333333333333
"LQMT_FIR","V8",18.1347222222222,42.9583333333333
"LQSB_FIR","V8",17.2772222222222,43.3516666666667
"LQVF_FIR","V8",16.7294444444444,43.7922222222222
"OUTSIDE_FIR_E","V8",16.5225,46.4783333333333
"OUTSIDE_FIR_N","V8",16.0533333333333,46.3880555555556
"OUTSIDE_FIR_W","V8",18.3811111111111,41.9002777777778
"TMA_DUBROVNIK","V8",16.1619444444444,42.4336111111111
"TMA_OSIJEK","V8",18.7277777777778,45.0030555555556
"TMA_PULA","V8",12.9955555555556,45.2625
"TMA_SPLIT","V8",14.6302777777778,43.4177777777778
"TMA_ZADAR","V8",15.3655555555556,44.8927777777778
"TMA_ZAGREB","V8",15.2972222222222,45.5736111111111
"ACC_ZAGREB","V9",15.9361111111111,42.5816666666667
"CTR_SPLIT","V9",16.3522222222222,43.3580555555556
"CTR_ZADAR","V9",15.7172222222222,44.0216666666667
"FIC_SPLIT","V9",14.4955555555556,43.5
"FIC_ZADAR","V9",15.3655555555556,44.8927777777778
"FIC_ZAGREB","V9",15.3533333333333,45.7730555555556
"LQBT_FIR","V9",16.775,44.9563888888889
"LQMT_FIR","V9",17.9530555555556,42.8933333333333
"LQSB_FIR","V9",17.2277777777778,43.4394444444444
"LQVF_FIR","V9",16.7161111111111,43.8361111111111
"OUTSIDE_FIR_E","V9",16.5886111111111,46.4480555555556
"OUTSIDE_FIR_N","V9",16.0669444444444,46.3408333333333
"OUTSIDE_FIR_W","V9",18.1944444444444,41.9327777777778
"TMA_DUBROVNIK","V9",15.9361111111111,42.5816666666667
"TMA_OSIJEK","V9",18.3816666666667,45.1019444444444
"TMA_PULA","V9",12.9955555555556,45.2997222222222
"TMA_SPLIT","V9",14.4955555555556,43.5
"TMA_ZADAR","V9",15.7561111111111,44.9008333333333
"TMA_ZAGREB","V9",15.3494444444444,45.6358333333333
"ACC_ZAGREB","V10",14.6302777777778,43.4177777777778
"CTR_ZADAR","V10",15.4341666666667,43.8652777777778
"FIC_SPLIT","V10",14.4247222222222,43.5641666666667
"FIC_ZADAR","V10",15.7561111111111,44.9008333333333
